siren_clean,departement,commune_insee
301392569,75,
301392577,75,
301392650,74,
301393021,69,
301393104,69,
301393161,75,
301393518,69,
301393864,42,
301393963,66,
301394003,69,
301394102,38,
301394185,38,
301394755,13,
301394805,57,
301395216,01,
301419198,84,
301419404,74,
301419917,75,
301419933,90,
301420477,38,
301420618,58,
301420626,58,
301420733,55,
301420766,70,
301422143,75,
301422283,26,
301422374,38,
301422606,25,
301422622,25,
301422986,13,
301423182,13,
301459301,91,
301459384,78,
301460341,94,
301460838,57,
301460861,93,
301461166,50,
301461372,54,
301461414,51,
301461562,54,
301462602,92,
301462925,75,
301463196,76,
301463212,94,
301463444,75,
301463683,42,
301463956,78,
301464152,71,
301464293,69,
301464483,36,
301464509,38,
301464780,32,
301464947,31,
301465043,38,
301465282,31,
301465456,38,
301465829,29,
301466272,26,
301466546,67,
301466553,67,
301466579,67,
301466678,67,
301466736,67,
301466934,68,
301466967,67,
301467056,67,
301467155,68,
301467221,67,
301467312,67,
301467437,67,
301467569,21,
301467643,19,
301467726,21,
301468146,59,
301468153,17,
301468211,60,
301468393,72,
301468740,14,
301468898,14,
301469052,13,
301469524,01,
301482378,69,
301482410,94,
301482477,70,
301482543,76,
301482634,68,
301482824,68,
301482915,68,
301482956,68,
301483020,68,
301483095,61,
301483814,75,
301484069,29,
301484077,17,
301484101,17,
301484358,08,
301484556,92,
301498838,95,
301499042,75,
301499190,78,
301499216,78,
301499307,60,
301499604,75,
301499620,92,
301500005,75,
301500104,75,
301500146,75,
301500203,92,
301500211,75,
301500252,95,
301500294,94,
301500351,75,
301500583,75,
301500815,75,
301500971,77,
301501391,31,
301501474,74,
301501599,69,
301501839,68,
301501862,69,
301501920,38,
301501979,69,
301502506,63,
301502860,44,
301502944,42,
301503066,63,
301503108,75,
301503157,63,
301503231,38,
301503496,58,
301506614,63,
301506754,39,
301520870,69,
301520920,74,
301521282,92,
301521548,63,
301521597,63,
301521696,63,
301521712,63,
301521845,59,
301521910,59,
301521928,02,
301521944,59,
301522108,59,
301522116,59,
301522223,59,
301522231,59,
301522314,75,
301522348,62,
301522389,59,
301522439,62,
301522538,59,
301522629,59,
301522645,62,
301522686,62,
301522793,59,
301522900,56,
301522942,46,
301523023,53,
301523056,15,
301523072,87,
301523189,42,
301523247,41,
301523346,43,
301523791,33,
301524278,03,
301524302,01,
301524369,31,
301524435,24,
301524708,31,
301524740,33,
301525051,2A,
301528170,59,
301528196,43,
301545166,83,
301545174,79,
301545505,94,
301545612,77,
301545893,74,
301545968,71,
301546057,68,
301546073,88,
301546230,67,
301546610,67,
301546669,67,
